OECOL	OECOLOGY
FLEM	FLEMISH
FLEUROPOLYM	FLEUROPOLYMER
FLEX	FLEXIBILITY
FLIP	FLIP
FLOAT	FLOATING
FLOORCOVER	FLOORCOVERING
FLOOR	FLOORING
FLOORSP	FLOORSPACE
FLOR	FLORAL
FLORIC	FLORICULT
FLA	FLORIDA
FLOR	FLORIST
FLORIST	FLORISTIC
FLOR	FLORISTRY
FLOTAT	FLOTATION
FLOWER	FLOWERING
FLOW	FLOWING
FLUEN	FLUENCY
FLUIDDYN	FLUIDDYNAMI
FLUID	FLUIDIC
FLUID	FLUIDIZ
FLUORAT	FLUORAT
FLUORESC	FLUORESCEN
FLUORID	FLUORIDATION
FLUORIM	FLUORIMETR
FLUOR	FLUORINE
FLY	FLYER
FLYFISH	FLYFISHER
FLY	FLYING
FLYP	FLYPAST
FOAM	FOAM
FOCUS	FOCUS
FODD	FODDER
FOLD	FOLDING
FOLKW	FOLKWEAVE
FOLLOW	FOLLOW
FOODBROK	FOODBROKER
FOODCR	FOODCROP
FOODPROCESS	FOODPROCESSING
FOODSERV	FOODSERVICE
FOODST	FOODSTUFF
FOOTB	FOOTBALL
FOOTB	FOOTBALLER
FOOTPR	FOOTPRINT
FORAMINIFER	FORAMINIFERAL
FORBID	FORBIDDEN
FORECAST	FORECAST
FORECLOS	FORECLOS
FORECLOS	FORECLOSURE
FOREFR	FOREFRONT
FOREH	FOREHEAD
FORERUNN	FORERUNNER
FORESH	FORESHORE
FOR	FOREST
FORG	FORGER
FORG	FORGING
FORGOT	FORGOTTEN
FORMALIZ	FORMALIZ
FORM	FORMATI
FORM	FORMED
FORMER	FORMERLY
FORM	FORMING
FORMOS	FORMOSAN
FORSHORT	FORSHORT
FT LANGLEY	FORT LANGLEY
FT LAUDERDALE	FORT LAUDERDALE
FT MCCLELL	FORT MCCLELLAN
FT TRYON PARK	FORT TRYON PARK
FT WORTH	FORT WORTH
FORTHCOM	FORTHCOMING
FORTN	FORTNIGHTLY
FORW	FORWARD
FORW	FORWARDER
FOSTER	FOSTER
FOUND	FOUNDATION
FOUND	FOUNDER
FOUND	FOUNDING
FOUNDRYM	FOUNDRYMAN
FRACT	FRACTIONAL
FRACT	FRACTUR
FRAGM	FRAGMENT
FRAGR	FRAGRANCE
FRAM	FRAM
FRAMEW	FRAMEWORK
FRANCH	FRANCHIS
FRANCISC	FRANCISCAN
FRANCOPHIL	FRANCOPHIL
FRANGIP	FRANGIPANI
FRANKF	FRANKFORT
FRANKL	FRANKLIN
FRASER VAL	FRASER VALLEY
FRASERV	FRASERVILLE
FRATERN	FRATERN
FREDERICT	FREDERICTON
FREE	FREE
FREEH	FREEHOLD
FREEL	FREELANC
FREEST	FREESTYLE
FREETH	FREETH
FREET	FREETOWN
FREEWHEEL	FREEWHEELER
FREEZ	FREEZER
FREEZ	FREEZING
FREIGHT	FREIGHTING
FR	FRENCH
FREQ	FREQUEN
FRESHM	FRESHMAN
FRESHW	FRESHWATER
FRICT	FRICTION
FRIENDSH	FRIENDSHIP
FRIES	FRIESIAN
FRIGHT	FRIGHT
FRIGORIF	FRIGORIF
FRONT	FRONTIER
FRUITGROW	FRUITGROWER
FRY	FRYER
FRY	FRYING
FULLER	FULLERENE
FULLERT	FULLERTOWN
FUNCT	FUNCTION
FUNDAM	FUNDAMENT
FUND	FUNDAT
FUNDRAIS	FUNDRAISING
FUNER	FUNERA
FUNH	FUNHOUSE
FURBEAR	FURBEAR
FURN	FURNACE
FURNISH	FURNISHER
FURNISH	FURNISHING
FURNIT	FURNITURE
FURTH	FURTHER
FUTUR	FUTUR
GAEL	GAELIC
GAINESV	GAINESVILLE
GALVANIZ	GALVANIZ
GALVEST	GALVESTON
GAMBL	GAMBLING
GAMEKEEP	GAMEKEEPER
GAMETOG	GAMETOGENES
GARAG	GARAG
GARD	GARDEN
GASDETECT	GASDETECTION
GASDYN	GASDYNAMI
GASFIT	GASFIT
GASIF	GASIFICATION
GASOH	GASOHOL
GASOL	GASOLINE
GASTROENTEROHEPATOL	GASTROENTEROHEPATOL
GASTROINTEST	GASTROINTESTINAL
GASTROKINET	GASTROKINETI
GASTRON	GASTRON
GATESH	GATESHEAD
GATEW	GATEWAY
GATHER	GATHERING
GEND	GENDER
GEN	GENERAL
GENIT	GENITAL
GENITOURIN	GENITOURINARY
GENITOURIN	GENITOURINARY
GENOTOXICOL	GENOTOXICOLOGY
GENTLEM	GENTLEMAN
GEOASTROPHYS	GEOASTROPHYSIC
GEOBIOL	GEOBIOLOGY
GEOCHEM	GEOCHEM
GEOCHRONOL	GEOCHRONOLOGY
GEOCRYOL	GEOCRYOLOGY
GEOD	GEODAES
GEOD	GEODAET
GEODYN	GEODYNAMI
GEOECOL	GEOECOLOGICAL
GEOELECTR	GEOELECTRIC
GEOENGIN	GEOENGINEER
GEOEXPLOR	GEOEXPLORATION
GEOGR	GEOGRAPHY
GEOJ	GEOJOURNAL
GEOLINGUIST	GEOLINGUISTICS
GEOMANT	GEOMANTIC
GEOMAT	GEOMATIC
GEOMEMBR	GEOMEMBRANE
GEOMICROBIOL	GEOMICROBIOLOGY
GEOMORPHOL	GEOMORPHOLOGY
GEOPHYS	GEOPHYSICS
GEOPOLIT	GEOPOLITI
GEOPRESS	GEOPRESS
GEORGET	GEORGETOWN
GA	GEORGIA
GEOSP	GEOSPACE
GEOSPH	GEOSPHERE
GEOSTAND	GEOSTANDARD
GEOSYNTH	GEOSYNTHETI
GEOTECHNOL	GEOTECHNOLOGY
GEOTEXT	GEOTEXTILES
GEOTHERM	GEOTHERMAL
GERALDT	GERALDTON
GER	GERMAN
GER	GERMANY
GESNER	GESNERIA
GESTATION	GESTATIONAL
GET	GETTING
GETTYSBG	GETTYSBURG
GHANA	GHANAIAN
GHOSTBUST	GHOSTBUSTER
GIFT	GIFT
GIPPSL	GIPPSLAND
GIV	GIVING
GLACIAT	GLACIAT
GLACIOL	GLACIOLOGY
GLAM	GLAMORGAN
GLAN	GLANING
GLASG	GLASGOW
GLAZ	GLAZER
GLAZ	GLAZING
GLEAN	GLEANER
GLEAN	GLEANING
GLID	GLID
GLOBUL	GLOBUL
GLORYL	GLORYLAND
GLOSS	GLOSSARY
GLOS	GLOUCESTER
GLOS	GLOUCESTERSHIRE
GLYCOBIOL	GLYCOBIOLOGY
GLYCOCONJ	GLYCOCONJUGATE
GLYCOMED	GLYCOMEDIC
GLYCOSCI	GLYCOSCIENC
GLYCOTECHNOL	GLYCOTECHNOLOGY
GNOZ	GNOZIS
GOATKEEP	GOATKEEPING
GOLD	GOLDEN
GOLDENB	GOLDENBOOK
GOLF	GOLF
GONG	GONGOLA
GOSPEL	GOSPEL
GOV	GOVERNANCE
GOV	GOVERNING
GOV	GOVERNMENT
GOV	GOVERNOR
GRACEF	GRACEFUL
GRAHAMST	GRAHAMSTOWN
GRAINGROW	GRAINGROWER
GRAMM	GRAMMAR
GRAMOPH	GRAMOPHONE
GD FALLS	GRAND FALLS
GD FORKS	GRAND FORKS
GRANT	GRANTING
GRANTMAK	GRANTMAK
GRANT	GRANTOR
GRANTSMANSH	GRANTSMANSHIP
GRANUL	GRANULAR
GRAPEGROW	GRAPEGROWER
GRAPH	GRAPHI
GRAPHOSC	GRAPHOSCOP
GRAPT	GRAPTOLITE
GRASSHOPP	GRASSHOPP
GRATEFUL	GRATEFUL
GRATUIT	GRATUIT
GRAVELBG	GRAVELBOURG
GRAVIT	GRAVITATION
GRAYL	GRAYLING
GB	GREAT BRITAIN
GT DIVIDE	GREAT DIVIDE
GT LAKES	GREAT LAKES
GT PLAINS	GREAT PLAINS
GT	GREAT
GREENH	GREENHOUSE
GREEN	GREENING
GREENKEEP	GREENKEEPER
GREENKEEP	GREENKEEPING
GREENL	GREENLAND
GREENSB	GREENSBORO
GREET	GREETING
GREGOR	GREGORI
GRENV	GRENVILLE
GRIEV	GRIEVANCE
GRIND	GRINDING
GROC	GROCER
GROUNDF	GROUNDFISH
GROUNDN	GROUNDNUT
GROUNDW	GROUNDWATER
GROUP	GROUPING
GROUPW	GROUPWARE
GROW	GROWER
GROW	GROWING
GUARANT	GUARANT
GUARD	GUARD
GUARDSM	GUARDSMAN
GUESTH	GUESTHOUSE
GUID	GUID
GUIDEB	GUIDEBOOK
GUIDEL	GUIDELINE
GUILDF	GUILDFORD
GUILDH	GUILDHALL
GUIN	GUINEA
GUJ	GUJARATI
GUN	GUNNER
GYMNAST	GYMNAST
GYNAECOL	GYNAECOLOGY
GYNECOL	GYNECOLOGY
HACKENS	HACKENSACK
HADRON	HADRON
HAEMATOL	HAEMATOLOGY
HAEMATOP	HAEMATOP
HAEMODIAL	HAEMODIALYSIS
HAEMODYN	HAEMODYNAM
HAEMOGENET	HAEMOGENETI
HAEMOPH	HAEMOPHILIA
HAEMORHEOL	HAEMORHEOLOGY
HAEMORRH	HAEMORRHAGIC
HAHNEMANN	HAHNEMANNIAN
HAIRDR	HAIRDRESSER
HALLM	HALLMARKS
HALLUCINOG	HALLUCINOGEN
HAMILT	HAMILTON
HAMPS	HAMPSHIRE
HANDB	HANDBOOK
HANDCR	HANDCRAFT
HANDKNITT	HANDKNITTING
HANDL	HANDLER
HANDL	HANDLING
HANDWRIT	HANDWRIT
HAPPEN	HAPPENING
HARASS	HARASS
HARB	HARBOR
HARDCOVER	HARDCOVER
HARDW	HARDWARE
HARMON	HARMON
HARRISBG	HARRISBURG
HARTLEP	HARTLEPOOL
HARV	HARVARD
HARVEST	HARVEST
HAST	HAST
HATCH	HATCHERY
HATCH	HATCHING
HAUL	HAUL
HAWAII	HAWAIIAN
HAZARD	HAZARDOUS
HEADHUNT	HEADHUNTER
HEAD	HEADING
HEADL	HEADLIN
HEADMAST	HEADMASTERS
HQRS	HEADQUARTERS
HEADW	HEADWAY
HEAL	HEAL
HEALTHC	HEALTHCARE
HEAR	HEAR
HEARTB	HEARTBEAT
HEARTL	HEARTLAND
HEAT	HEATER
HEAT	HEATING
HEAVEN	HEAVEN
HEBR	HEBREW
HEBRID	HEBRIDEAN
HEEDF	HEEDFUL
HEIDELBG	HEIDELBURG
HEIGHT	HEIGHT
HELIPT	HELIPORT
HELMINTHOL	HELMINTHOLOGY
HELP	HELP
HEMATOP	HEMATOP
HEMEROT	HEMEROTECA
HEMICELLUL	HEMICELLULOS
HEMOCHROMATOS	HEMOCHROMATOS
HEMODIAL	HEMODIALYSIS
HEMOFILTR	HEMOFILTRAT
HEMORHEOL	HEMORHEOLOGY
HEMOSTASEOL	HEMOSTASEOLOGY
HEPAT	HEPATITIS
HEPATOCELL	HEPATOCELLULAR
HEPATOTOXIC	HEPATOTOXICITY
HER	HERALD
HERB	HERBAGE
HERB	HERBAL
HERBAL	HERBALISM
HERB	HERBARI
HERBIC	HERBICID
HERED	HEREDI
HEREFORD	HEREFORDSHIRE
HERIT	HERITAGE
HERMENEUT	HERMENEUTICAL
HERMET	HERMETIC
HERON	HERONRY
HERPETOF	HERPETOFAUNA
HERTS	HERTFORDSHIRE
HETEROAROMAT	HETEROAROMATIC
HETEROAT	HETEROATOM
HETEROCYCL	HETEROCYCLIC
HETERONUCL	HETERONUCLEAR
HETEROSTRUCT	HETEROSTRUCTUR
HIDROTECH	HIDROTECHNI
HIGH	HIGHER
HIGH	HIGHEST
HIGHL	HIGHLAND
HIGHW	HIGHWAY
HIK	HIKING
HILAR	HILAR
HILLINGD	HILLINGDON
HILLSB	HILLSBURGH
HIMAL	HIMALAYAN
HINDU	HINDUISM
HISTOCHEM	HISTOCHEM
HISTOCOMPAT	HISTOCOMPATIBIL
HISTOPATHOL	HISTOPATHOLOGY
HIST	HISTOR
HITCH	HITCH
HOLD	HOLDER
HOLD	HOLDING
HOLIN	HOLINESS
HOLIST	HOLISTIC
HOMEBUY	HOMEBUYING
HOMEL	HOMELAND
HOMEMAK	HOMEMAKER
HOMEOPATH	HOMEOPATH
HOMEOST	HOMEOSTASIS
HOMEOST	HOMEOSTATIC
HOMEOWN	HOMEOWN
HOMESCH	HOMESCHOOL
HOMESTD	HOMESTEAD
HOMEW	HOMEWARE
HOMILET	HOMILET
HOMOAT	HOMOATOMI
HOMOEOPATH	HOMOEOPATH
HOMOG	HOMOGEN
HOMOL	HOMOLOGY
HOMOSEX	HOMOSEX
HONOUR	HONOURABLE
HOOK	HOOKING
HOPEL	HOPELESS
HORIZ	HORIZONTAL
HORMONOG	HORMONOGENES
HORMONOTHER	HORMONOTHERAP
HORTIC	HORTICULT
HOSP	HOSPIT
HOTELK	HOTELKEEPER
HOTELM	HOTELMAN
HOUR	HOURLY
HOUSEBOAT	HOUSEBOATING
HOUSEBUILD	HOUSEBUILD
HOUSEH	HOUSEHOLD
HOUSEKEEP	HOUSEKEEP
HOUSEW	HOUSEWARE
HOUS	HOUSING
HOUST	HOUSTON
HOVERCR	HOVERCRAFT
HOVER	HOVERING
HUDDERS	HUDDERSFIELD
HUM	HUMAN
HUM	HUMANE
HUMANIST	HUMANISTIC
HUMANIT	HUMANIT
HUMANIZ	HUMANIZ
HUMBERS	HUMBERSIDE
HUMDING	HUMDINGER
HUNG	HUNGAR
HUNGER	HUNGER
HUNT	HUNTER
HUNT	HUNTING
HUNTINGDONS	HUNTINGDONSHIRE
HUNTINGT	HUNTINGTON
HURRIC	HURRICANE
HUSB	HUSBANDRY
HYBRID	HYBRIDIZATION
HYBRID	HYBRIDOMA
HYDROCEPH	HYDROCEPHAL
HYDROCHEM	HYDROCHEM
HYDROCOLL	HYDROCOLLOIDS
HYDROCYCL	HYDROCYCLODES
HYDROELECTR	HYDROELECTRI
HYDROGASIF	HYDROGASIFICATION
HYDROG	HYDROGEN
HYDROGEOCHEM	HYDROGEOCHEMISTRY
HYDROLYS	HYDROLYSIS
HYDROMAGN	HYDROMAGNETI
HYDROMECH	HYDROMECHANIC
HYDROMETALL	HYDROMETALLURG
HYDROMETEOROL	HYDROMETEOROLOGY
HYDROM	HYDROMETR
HYDROPHYS	HYDROPHYSIC
HYDROSCI	HYDROSCIENC
HYDROSP	HYDROSPACE
HYDROTECH	HYDROTECHNI
HYDROTRANSP	HYDROTRANSPORT
HYG	HYGIEN
HYGROSC	HYGROSCOP
HYPERALIMENT	HYPERALIMENT
HYPERFUNCT	HYPERFUNCTION
HYPERLIPID	HYPERLIPIDAEMIA
HYPERNUCL	HYPERNUCLEAR
HYPERREACT	HYPERREACTI
HYPERTENS	HYPERTENSI
HYPERTH	HYPERTHERMIA
HYPNOANAL	HYPNOANAL
HYPN	HYPNOSIS
HYPNOTHER	HYPNOTHERAP
HYPN	HYPNOTI
HYPOTENS	HYPOTENSI
HYSTERECT	HYSTERECTOMY
IATROG	IATROGENIC
IB	IBADAN
IBER	IBERIAN
ICEL	ICELAND
ICONOGR	ICONOGRAPHY
IDA	IDAHO
IDEAL	IDEALISTIC
IDENTIF	IDENTIFICATION
IDEOL	IDEOLOGY
IGALAL	IGALALAND
ILLET	ILLETERACY
ILL	ILLINOIS
ILLN	ILLNESS
ILLUM	ILLUMINAT
ILLUS	ILLUSTR
IMAG	IMAGERY
IMMIGR	IMMIGRANT
IMMIGR	IMMIGRATION
IMMOBIL	IMMOBILIZ
IMMUN	IMMUNISATION
IMMUN	IMMUNITY
IMMUN	IMMUNIZATION
IMMUNOALERGOL	IMMUNOALERGOL
IMMUNOANAL	IMMUNOANALY
IMMUNOASS	IMMUNOASSAY
IMMUNOBIOL	IMMUNOBIOLOGY
IMMUNOCHEM	IMMUNOCHEMISTRY
IMMUNOCONJUG	IMMUNOCONJUGATE
IMMUNOCYTOCHEM	IMMUNOCYTOCHEMISTRY
IMMUNODEFIC	IMMUNODEFICIENCY
IMMUNODIAGN	IMMUNODIAGNOS
IMMUNOFLUORESC	IMMUNOFLUORESCEN
IMMUNOGASTROENTEROL	IMMUNOGASTROENTEROLOGY
IMMUNOHEMATOL	IMMUNOHEMATOL
IMMUNOHEMOTHER	IMMUNOHEMOTHERAP
IMMUNOHISTOCHEM	IMMUNOHISTOCHEMISTRY
IMMUNOL	IMMUNOLOGY
IMMUNOMICROBIOL	IMMUNOMICROBIOLOGY
IMMUNOMODIF	IMMUNOMODIF
IMMUNOPATHOL	IMMUNOPATHOLOGY
IMMUNOPEPT	IMMUNOPEPTID
IMMUNOPHARMACOL	IMMUNOPHARMACOLOGY
IMMUNOPROPHYL	IMMUNOPROPHYLAX
IMMUNOREGUL	IMMUNOREGULAT
IMMUNOREHABIL	IMMUNOREHABILIT
IMMUNOREPROD	IMMUNOREPRODUCTI
IMMUNOSTIMUL	IMMUNOSTIMULA
IMMUNOSUPPR	IMMUNOSUPPRESS
IMMUNOSURVEILL	IMMUNOSURVEILLANCE
IMMUNOTHER	IMMUNOTHERAP
IMMUNOTOXICOL	IMMUNOTOXICOLOGY
IMPAIR	IMPAIR
IMPLANT	IMPLANT
IMPLEMENT	IMPLEMENTATION
IMPLEMENT	IMPLEMENTING
IMPLIC	IMPLICATION
IMPORT	IMPORTAT
IMPORT	IMPORTED
IMPOS	IMPOS
IMPOT	IMPOTENCE
IMPOUND	IMPOUND
IMPR	IMPRESSION
IMPR	IMPRINT
IMPROV	IMPROV
IMPULS	IMPULS
INACT	INACTIV
INAUG	INAUGURAL
INCAPAC	INCAPACIT
INCARCER	INCARCERAT
INCLIN	INCLIN
INCL	INCLUD
INCL	INCLUSIVE
INCOMPAT	INCOMPATIBIL
INCRED	INCRED
INCREM	INCREMENTAL
INCUR	INCURRED
INDAG	INDAGATION
INDEBT	INDEBTEDNESS
INDEMNIF	INDEMNIFICATION
INDEP	INDEPENDENT
INDEX	INDEXATION
INDEX	INDEXED
INDEX	INDEXER
INDEX	INDEXING
INDIANAP	INDIANAPOLIS
INDIC	INDICAT
INDICT	INDICTABLE
INDIG	INDIGEN
INDIVID	INDIVIDUAL
INDOCHEM	INDOCHEMICAL
INDOCH	INDOCHINA
INDOL	INDOLOGICAL
INDUC	INDUCED
INEBR	INEBRIETY
INELAST	INELASTIC
INEQUAL	INEQUALITY
INERT	INERTIAL
INFANT	INFANTIL
INFARCT	INFARCTION
INFECT	INFECTI
INFERENT	INFERENT
INFER	INFERIOR
INFERTIL	INFERTILIT
INFEST	INFESTATION
INFIRM	INFIRM
INFLAMM	INFLAMMATION
INFLAMM	INFLAMMATORY
INFLAT	INFLATION
INFLU	INFLUEN
INFOLETT	INFOLETTER
INF	INFORM
INF	INFORMANT
INFORM	INFORMATIC
INF	INFORMATIV
INF	INFORMATOR
INFORMETR	INFORMETRIC
INFOSCI	INFOSCIENCE
INFOTAIN	INFOTAINMENT
INFRAMICROBIOL	INFRAMICROBIOLOGY
INGEN	INGENUITY
INGLEW	INGLEWOOD
INGRED	INGREDIENT
INHAL	INHALA
INHERIT	INHERITANCE
INHERIT	INHERITED
INJECT	INJECT
INJ	INJUR
INKMAK	INKMAK
INLAND	INLANDER
INLIGHT	INLIGHT
INN	INNER
INNKEEP	INNKEEP
INORG	INORGANIC
INOSIT	INOSITIDES
INQ	INQUEST
INQ	INQUIR
INRICHT	INRICHTING
INSECTIC	INSECTICIDE
INSECTOFUNGIC	INSECTOFUNGICID
INSEMIN	INSEMINATION
INSERV	INSERVICE
INSID	INSID
INSIGN	INSIGNIA
INSOLV	INSOLVENCY
INSP	INSPECT
INSPIR	INSPIRATOR
INSTAB	INSTABILIT
INSTALM	INSTALMENT
INSTANT	INSTANTANE
INST	INSTITUTE
INSTR	INSTRUCT
INSTRUM	INSTRUMENT
INSTRUM	INSTRUMENTAL
INSTRUM	INSTRUMENTATION
INSUR	INSUR
INSURG	INSURGENT
INSURRECT	INSURRECTIONARY
INTEGR	INTEGRATED
INTEGR	INTEGRATIVE
INTEGR	INTEGRATOR
INTEGR	INTEGRITY
INTL	INTERNATIONAL
INTELLECT	INTELLECTUAL
INTELL	INTELLIGENC
INTEND	INTENDED
INTEND	INTENDENT
INTEND	INTENDING
INTENSIF	INTENSIFICATION
INTENT	INTENTION
INTERACT	INTERACTING
INTERACT	INTERACTION
INTERACT	INTERACTIVE
INTERAFR	INTERAFRICA
INTERAG	INTERAGENCY
INTERAT	INTERATOMIC
INTERCELL	INTERCELLULAR
INTERCEPT	INTERCEPT
INTERCESS	INTERCESS
INTERCHEM	INTERCHEMICAL
INTERCOLL	INTERCOLLEGIATE
INTERCOMP	INTERCOMPARISON
INTERCONNECT	INTERCONNECTION
INTERCONVERS	INTERCONVERSION
INTERCRYST	INTERCRYSTALL
INTERCULT	INTERCULTUR
INTERDENOMINATL	INTERDENOMINATIONAL
INTERDEP	INTERDEPARTMENT
INTERDEPEND	INTERDEPENDENC
INTERDIFFUS	INTERDIFFUSION
INTERDISCIP	INTERDISCIPLIN
INTEREST	INTERESTED
INTERF	INTERFER
INTERFEROM	INTERFEROMETR
INTERGOV	INTERGOVERNEMENT
INTERGOV	INTERGOVERNMENT
INTERLAB	INTERLABORATORY
INTERLANG	INTERLANGUAGE
INTERLEND	INTERLENDING
INTERMED	INTERMEDIATE
INTERMET	INTERMETALLI
INTERMT	INTERMOUNTAIN
INTERN	INTERNAL
INT	INTERNATION
INTERNSH	INTERNSHIP
INTERPARLEM	INTERPARLEMENT
INTERPENETR	INTERPENETRAT
INTERPERS	INTERPERSONAL
INTERPHOTORECEPT	INTERPHOTORECEPT
INTERPLANET	INTERPLANETARY
INTERPLAST	INTERPLASTIC
INTERPOLAT	INTERPOLATION
INTERPROV	INTERPROVINC
INTERREG	INTERREGION
INTERRELAT	INTERRELATION
INTERRELIG	INTERRELIGIOUS
INTERSCI	INTERSCIENCE
INTERSERV	INTERSERVICE
INTERSOC	INTERSOCIETY
INTERSTUD	INTERSTUD
INTERSYND	INTERSYNDICAL
INTERUNIV	INTERUNIVERSIT
INTIM	INTIMACY
INTIM	INTIMAT
INTIM	INTIMATE
INTOLER	INTOLERANT
INTOX	INTOXICAT
INTRACELL	INTRACELLULAR
INTRACONT	INTRACONTINENT
INTRAMOL	INTRAMOLECUL
INTRAUTER	INTRAUTERINE
INTRAVASC	INTRAVASCUL
INTRAVEN	INTRAVEN
INTROD	INTRODUC
INTROSP	INTROSPEC
INVENT	INVENTING
INVENT	INVENTION
INVENT	INVENTOR
INVERTEBR	INVERTEBRAT
INVERT	INVERTED
INVERT	INVERTER
INVEST	INVESTING
INVEST	INVESTMENT
INVEST	INVESTOR
INVIS	INVISIBLE
INVIT	INVIT
INVOLV	INVOLV
INVOLV	INVOLVEMENT
IONIZ	IONIZ
IONOS	IONOSPHER
IREL	IRELAND
IR	IRISH
IRL	IRLAND
IRONMAK	IRONMAKING
IRONWORK	IRONWORKER
IROQ	IROQUOIAN
IRRADIAT	IRRADIATED
IRRADIAT	IRRADIATION
IRREGUL	IRREGULAR
ISCHAEM	ISCHAEMIA
ISCHAEM	ISCHAEMIC
ISOCHRON	ISOCHRONOUS
ISOELECTRON	ISOELECTRONI
ISOKINET	ISOKINETICS
ISOL	ISOLAT
ISSU	ISSUING
JACKSONV	JACKSONVILLE
JAM	JAMAICA
JPN	JAPAN
JAZZOL	JAZZOLOGY
JENKINT	JENKINTOWN
JERUS	JERUSALEM
JET	JETTING
JEWEL	JEWEL
JEW	JEWISH
JEW	JEWRY
JOBCENT	JOBCENTRE
JOBHOLD	JOBHOLDING
JOBSEEK	JOBSEEKER
JOG	JOGGER
JOG	JOGGING
JOHANNESBG	JOHANNESBURG
JOHNS	JOHNSON
JOIN	JOINERY
JOIN	JOINING
JT	JOINT
JT	JOINTING
J	JOURNAL
JOTT	JOTTING
JOYF	JOYFUL
JUBIL	JUBILEE
JUD	JUDAIC
JUD	JUDAISM
JUDG	JUDGING
JUDGM	JUDGMENT
JUDIC	JUDICATURE
JUDIC	JUDICIA
JUGENDR	JUGENDRECHT
JUGGL	JUGGL
JUMP	JUMP
JR	JUNIOR
JURASS	JURASSIC
JURIMETR	JURIMETRIC
JURISD	JURISDICTION
JUSTIF	JUSTIFICATION
JUV	JUVENIL
KAD	KADUNA
KANS	KANSAS
KAYAK	KAYAK
KAYAK	KAYAKER
KAYAK	KAYAKING
KEEP	KEEPER
KEEP	KEEPING
KELVINGT	KELVINGTON
KEMPTV	KEMPTVILLE
KY	KENTUCKY
KENTV	KENTVILLE
KERATOREFRACT	KERATOREFRACTIVE
KEYNES	KEYNESIAN
KEYST	KEYSTONE
KHEDIV	KHEDIVIAL
KILL	KILL
KIMBERL	KIMBERLITE
KINEMAT	KINEMATICS
KINESIOL	KINESIOL
KINESIOL	KINESIOLOGY
KINGD	KINGDOM
KINGST	KINGSTO(W)N
KINGSV	KINGSVILLE
KINSH	KINSHIP
KINSM	KINSMAN
KIRCHENMUSIK	KIRCHENMUSIKALISCH
KIRKL	KIRKLAND
KIRKSV	KIRKSVILLE
KIRKW	KIRKWOOD
KNITT	KNITT
KNITW	KNITWEAR
KNOWL	KNOWLEDGE
KNOWLT	KNOWLTON
KNOXV	KNOXVILLE
KOREANOL	KOREANOLOGY
KRON	KRONICLE
KURD	KURDISH
LABANOT	LABANOTATION
LABEL	LABELLED
LABEL	LABELLING
LACAN	LACANIAN
LACEMAK	LACEMAKER
LACQ	LACQUER
LACTOG	LACTOGENIC
LACTOL	LACTOLOGY
LAKEL	LAKELAND
LAKET	LAKETOWN
LAMBT	LAMBTON
LANCS	LANCASHIRE
LANC	LANCASTER
LANDESVER	LANDESVEREIN
LANDF	LANDFORM
LAND	LANDING
LANDOWN	LANDOWNING
LANDRAC	LANDRAC
LANDSC	LANDSCAPE
LANDW	LANDWARD
LANG	LANGUAGE
LANTHAN	LANTHANIDE
LAPAROENDOSC	LAPAROENDOSCOP
LAPAROSC	LAPAROSCOPIC
LAPAROSC	LAPAROSCOPY
LAPID	LAPIDARY
LARAM	LARAMIE
LARCHMT	LARCHMONT
LARG	LARGER
LARG	LARGEST
LARVIC	LARVICULTURE
LAT	LATIN
LATV	LATV
LAUGH	LAUGH
LAUND	LAUND
LAURENT	LAURENTIAN
LAYER	LAYERED
LAY	LAYING
LEAD	LEADER
LEADERSH	LEADERSHIP
LEAD	LEADING
LEAFL	LEAFLET
LEAG	LEAGUE
LEAK	LEAKING
LEARN	LEARN
LEASEH	LEASEHOLD
LEAS	LEASING
LEAV	LEAVER
LEBAN	LEBANESE
LEBAN	LEBANON
LECTION	LECTIONARY
LECT	LECTUR
LECTURESH	LECTURESHIP
LEG	LEGACY
LEG	LEGAL
LEGEND	LEGEND
LEGION	LEGION
LEIC	LEICESTER
LEICS	LEICESTERSHIRE
LEIS	LEISUR
LEISUREW	LEISUREWEAR
LEND	LENDING
LENNOXV	LENNOXVILLE
LEPR	LEPROSY
LESLIEV	LESLIEVILLE
LETT	LETTER
LEUKAEMOG	LEUKAEMOGENES
LEUKEMOGENES	LEUKEMOGENESIS
LEUKOC	LEUKOCYTE
LEUKOT	LEUKOTRI
LEXICOGR	LEXICOGRAPHY
LEXINGT	LEXINGTON
LIABIL	LIABILITY
LIB	LIBERAL
LIB	LIBERATOR
LIBERT	LIBERTARIAN
LIB	LIBERTY
LIBR	LIBRAR
LIBRARIANSH	LIBRARIANSHIP
LIBRETT	LIBRETTIST
LICENC	LICENCED
LICENS	LICENS
LICENT	LICENTIATE
LICHF	LICHFIELD
LIEUTEN	LIEUTENANT
LIFESAV	LIFESAVING
LIFESK	LIFESKILL
LIFESP	LIFESPAN
LIFT	LIFTING
LIGHT	LIGHT
LIGNIT	LIGNITIC
LIGNOCELLUL	LIGNOCELLULOS
LIMEST	LIMESTONE
LIMIT	LIMITATION
LTD	LIMITED
LINC	LINCOLN
LINCS	LINCOLNSHIRE
LINK	LINKAGE
LINK	LINKER
LINK	LINKING
LINKLETT	LINKLETTER
LINN	LINNEAN
LIPIDOL	LIPIDOLOGY
LIPP	LIPPED
LIQ	LIQUEF
LIQ	LIQUID
LIQUOR	LIQUOR
